source,destination,weight
productvendor,product,1
productvendor,vendor,1
productvendor,unitmeasure,1
purchaseorderdetail,purchaseorderheader,19
purchaseorderdetail,product,4
purchaseorderheader,employee,1
purchaseorderheader,vendor,1
purchaseorderheader,shipmethod,1
vendor,businessentity,10
employee,person,10
employeedepartmenthistory,employee,1
employeedepartmenthistory,department,16
employeedepartmenthistory,shift,16
employeepayhistory,employee,10
jobcandidate,employee,10
address,stateprovince,10
businessentityaddress,businessentity,1
businessentityaddress,address,1
businessentityaddress,addresstype,16
businessentitycontact,businessentity,1
businessentitycontact,person,1
businessentitycontact,contacttype,16
emailaddress,person,10
password,person,10
businessentity,person,10
personphone,person,4
personphone,phonenumbertype,19
stateprovince,countryregion,4
stateprovince,salesterritory,4
billofmaterials,product,4
billofmaterials,unitmeasure,4
document,employee,4
product,unitmeasure,1
product,productsubcategory,13
product,productmodel,1
productcosthistory,product,10
product,document,13
document,product,4
productinventory,product,4
productinventory,location,4
productlistpricehistory,product,10
productmodel,illustration,25
illustration,productmodel,10
productmodelproductdescriptionculture,productmodel,1
productmodelproductdescriptionculture,productdescription,16
productmodelproductdescriptionculture,culture,16
productproductphoto,product,4
productproductphoto,productphoto,19
productreview,product,10
productsubcategory,productcategory,25
transactionhistory,product,10
workorder,product,4
workorder,scrapreason,19
workorderrouting,workorder,19
workorderrouting,location,4
countryregion,currency,10
currency,countryregion,10
currencyrate,currency,10
customer,person,1
customer,store,16
customer,salesterritory,1
person,creditcard,10
creditcard,person,10
salesorderdetail,salesorderheader,4
salesorderdetail,specialofferproduct,19
salesorderheader,customer,1
salesorderheader,salesperson,1
salesorderheader,salesterritory,1
salesorderheader,address,1
salesorderheader,shipmethod,1
salesorderheader,creditcard,1
salesorderheader,currencyrate,1
salesorderheader,salesreason,1
salesreason,salesorderheader,10
salesperson,employee,4
salesperson,salesterritory,4
salespersonquotahistory,salesperson,10
salestaxrate,stateprovince,10
salesterritory,countryregion,10
salesterritoryhistory,salesperson,4
salesterritoryhistory,salesterritory,4
shoppingcartitem,product,10
specialofferproduct,specialoffer,19
specialofferproduct,product,4
store,businessentity,4
store,salesperson,4
