id,label
productvendor,productvendor
purchaseorderdetail,purchaseorderdetail
purchaseorderheader,purchaseorderheader
shipmethod,shipmethod
vendor,vendor
department,department
employee,employee
employeedepartmenthistory,employeedepartmenthistory
employeepayhistory,employeepayhistory
jobcandidate,jobcandidate
shift,shift
address,address
addresstype,addresstype
businessentity,businessentity
businessentityaddress,businessentityaddress
businessentitycontact,businessentitycontact
contacttype,contacttype
countryregion,countryregion
emailaddress,emailaddress
password,password
person,person
personphone,personphone
phonenumbertype,phonenumbertype
stateprovince,stateprovince
billofmaterials,billofmaterials
culture,culture
document,document
illustration,illustration
location,location
product,product
productcategory,productcategory
productcosthistory,productcosthistory
productdescription,productdescription
productinventory,productinventory
productlistpricehistory,productlistpricehistory
productmodel,productmodel
productmodelproductdescriptionculture,productmodelproductdescriptionculture
productphoto,productphoto
productproductphoto,productproductphoto
productreview,productreview
productsubcategory,productsubcategory
scrapreason,scrapreason
transactionhistory,transactionhistory
transactionhistoryarchive,transactionhistoryarchive
unitmeasure,unitmeasure
workorder,workorder
workorderrouting,workorderrouting
creditcard,creditcard
currency,currency
currencyrate,currencyrate
customer,customer
salesorderdetail,salesorderdetail
salesorderheader,salesorderheader
salesperson,salesperson
salespersonquotahistory,salespersonquotahistory
salesreason,salesreason
salestaxrate,salestaxrate
salesterritory,salesterritory
salesterritoryhistory,salesterritoryhistory
shoppingcartitem,shoppingcartitem
specialoffer,specialoffer
specialofferproduct,specialofferproduct
store,store
