id,label
auction,auction
auction_bids,auction_bids
auction_item_details,auction_item_details
auction_item_photos,auction_item_photos
auction_items,auction_items
bidders,bidders
companies,companies
company_photos,company_photos
email_changes,email_changes
email_verifications,email_verifications
owners,owners
password_reset,password_reset
representative_invitations,representative_invitations
representatives,representatives
user_credentials,user_credentials
user_photos,user_photos
user_profiles,user_profiles
user_settings,user_settings
